Date,Asset,Active_Addresses,Tx_Count,Transfer_Volume_USD,Hash_Rate,Network_Cap_USD
2020-01-01,BTC-USD,524360,251867,,,130045090385.52066
2020-01-02,BTC-USD,671016,291935,,,125998424153.41441
2020-01-03,BTC-USD,721747,323153,,,132697278148.87724
2020-01-04,BTC-USD,611397,282301,,,133217976217.07286
2020-01-05,BTC-USD,597061,288212,,,133275875181.57004
2020-01-06,BTC-USD,724219,297843,,,140914223163.34763
2020-01-07,BTC-USD,775757,347212,,,147651200706.58707
2020-01-08,BTC-USD,754553,318633,,,146279253219.06857
2020-01-09,BTC-USD,773570,322838,,,141892197199.8546
2020-01-10,BTC-USD,792103,332463,,,147582961219.60855
2020-01-11,BTC-USD,640445,303555,,,145823708888.97903
2020-01-12,BTC-USD,581504,278853,,,148245508556.63815
2020-01-13,BTC-USD,705443,299786,,,147486087356.75323
2020-01-14,BTC-USD,850757,346978,,,160363065666.57037
2020-01-15,BTC-USD,759192,328833,,,160039732750.46997
2020-01-16,BTC-USD,739283,326587,,,158372266764.6234
2020-01-17,BTC-USD,756728,323884,,,161911295166.55798
2020-01-18,BTC-USD,649187,290970,,,162210132689.5925
2020-01-19,BTC-USD,622774,282105,,,157851016737.10883
2020-01-20,BTC-USD,741539,312967,,,156938999926.55887
2020-01-21,BTC-USD,756250,311835,,,158674938268.75873
2020-01-22,BTC-USD,771727,326380,,,157183956412.81653
2020-01-23,BTC-USD,789764,337280,,,152083761530.03436
2020-01-24,BTC-USD,720051,311823,,,153136024721.92358
2020-01-25,BTC-USD,665971,283292,,,151723896967.7877
2020-01-26,BTC-USD,544915,256739,,,155904701538.4813
2020-01-27,BTC-USD,726725,285400,,,161884843101.65765
2020-01-28,BTC-USD,812560,339784,,,169092343462.29312
2020-01-29,BTC-USD,767507,340075,,,169375757160.80072
2020-01-30,BTC-USD,765495,332584,,,172977064840.9766
2020-01-31,BTC-USD,762130,329369,,,170235489635.29547
2020-02-01,BTC-USD,743933,304884,,,170700764231.1812
2020-02-02,BTC-USD,706042,292383,,,169944201721.52515
2020-02-03,BTC-USD,879860,336226,,,168877320922.92273
2020-02-04,BTC-USD,764885,307816,,,166741659168.92722
