Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
LSTM-only,-0.013790033359083367,-0.023824961528182233,-0.03781128578067186,0.044220902025699615
CNN-BiLSTM-Attn,-0.030235766191022136,-0.04695104919243086,-0.03455226329841848,0.012774153612554073
GRU-only,-0.10181645959303876,-0.16529669378843276,-0.0346336762240155,0.02895740419626236
CNN-only,-0.1283540595772015,-0.197112654265038,-0.04154604960252204,0.02075662836432457
GJR-GARCH,-0.2809777811932977,-0.4454468500998722,-0.03476625456839773,0.04630751455878202
GARCH,-0.3313268718624499,-0.5223228739771846,-0.03742507789967554,0.04839371553703445
SVR (RBF),-0.5023547490614371,-0.6926854144103128,-0.05377765511204849,0.023515176420348543
Hybrid (ARIMA+DL),-0.5226984950777956,-0.7771340283058386,-0.04735764421680724,0.029394350204887912
HAR-RV,-1.0642228187422582,-1.5251925857595754,-0.06744464541380725,0.05454509490551881
Residual Hybrid (ARIMA+DL-resid),-1.142840186483601,-1.627008059298693,-0.07077876346930005,0.05935275161063625
ARIMA,-1.1459166509782552,-1.6310131645211257,-0.07088858501039667,0.05952269072200711
Naive_Persistence,-3.237834656500099,-4.408311425668384,-0.0250816855645877,0.054874916079054516
