Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
CNN-only,-0.4434492000614011,-0.6574531349409052,-0.07796703470888323,0.03692129626870155
GJR-GARCH,-0.5072510569817281,-0.8362180438116603,-0.1190100603470141,0.23207169190280288
GARCH,-0.5299962702483481,-0.7785792539308617,-0.10803456447682727,0.0331507512360963
LSTM-only,-0.7555560870059564,-1.0718794785576247,-0.11112880174252653,0.03781425580382347
CNN-BiLSTM-Attn,-0.8824728906634421,-1.178551847878379,-0.1492592601496865,0.021690253168344498
Hybrid (ARIMA+DL),-0.9791317578145414,-1.3536894593240867,-0.1403719956290152,0.03768533706779997
GRU-only,-0.9957692200266485,-1.3765731800911483,-0.11097635071714099,0.04404876008629799
HAR-RV,-1.099488804385639,-1.522220325275517,-0.14633284086288406,0.06316514687914926
SVR (RBF),-1.1536786909196237,-1.1541800938620774,-0.004706314200858872,0.011112950980123652
ARIMA,-1.1562253768166622,-1.5898946135665648,-0.1497910135057762,0.06521323268275496
Residual Hybrid (ARIMA+DL-resid),-1.1748977112272798,-1.6125581686687043,-0.15087639158672275,0.0661104498664465
Naive_Persistence,-1.4132719368750983,-1.9283529084096458,-0.07848051356790609,0.05887530772213579
