Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
GRU-only,-0.13749180871333716,-0.21827369509356695,-0.049921183814648426,0.024851899594068527
LSTM-only,-0.15743900007566353,-0.2528635286806966,-0.04676396170497902,0.026416758075356483
CNN-only,-0.1581817609321688,-0.2550576899566406,-0.05576497767363979,0.02504606731235981
CNN-BiLSTM-Attn,-0.17306652676258352,-0.2706071914681806,-0.046268446647373625,0.016088534146547318
GJR-GARCH,-0.4103542831003731,-0.6463171210267129,-0.06008845087224993,0.04825156007032482
GARCH,-0.4523872327362994,-0.701359565375248,-0.06289988249389433,0.047524487047062546
SVR (RBF),-0.5741509416053422,-0.8433077023624712,-0.07952899901666062,0.08498893575291157
Hybrid (ARIMA+DL),-0.7015912012878749,-1.0116266102192981,-0.07734879609463585,0.03658955317276177
HAR-RV,-1.184681530391447,-1.62906935183054,-0.10573782200090955,0.06611512700815898
Residual Hybrid (ARIMA+DL-resid),-1.3329635851138377,-1.7924928334534167,-0.11430062776339665,0.06797834094919936
ARIMA,-1.3678230488081529,-1.8320220566090075,-0.11612947359600888,0.0693053135733325
Naive_Persistence,-2.7170031169351807,-3.551920833744961,-0.03643394811434634,0.06184294642575977
