Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
GJR-GARCH,0.23626243367552774,0.3993763225802163,-0.05954030556907307,0.09254790971385021
GARCH,0.21967194214689503,0.3710411622054189,-0.060511615552859895,0.09213937092209117
GRU-only,-0.22592838895965286,-0.3462190092815743,-0.06316270715694591,0.03135490044951439
CNN-BiLSTM-Attn,-0.3661167316256813,-0.5431344635357304,-0.1033583664479384,0.024418305605649948
LSTM-only,-0.39394992347155383,-0.5754095767715104,-0.08120630069046637,0.02297845669090748
SVR (RBF),-0.4075519531681841,-0.6468365194683618,-0.07096682029505116,0.08236284367007693
CNN-only,-0.7243077768837255,-1.0185067107013197,-0.0990578796581012,0.022810228168964386
Hybrid (ARIMA+DL),-0.7781334569153434,-1.0823036525824463,-0.10832479261028771,0.037415612447367595
HAR-RV,-1.202050577706216,-1.609124430229452,-0.12596015436761576,0.06748499792246264
Residual Hybrid (ARIMA+DL-resid),-1.2631040763208294,-1.6776721940532648,-0.12802888286886965,0.06900826763864396
ARIMA,-1.2693941783417568,-1.6848640933201353,-0.12821751656319236,0.0692917212487246
Naive_Persistence,-2.6572075606769556,-3.4565233285673993,-0.04024337894345324,0.06438968528491731
