Model,RMSE,MAE,DoC,R2
HAR-RV,0.004060038804740808,0.0030143419960094214,0.4456824512534819,0.7616873590056195
ARIMA,0.004187321339132132,0.002932091632584656,0.4568245125348189,0.7465108989045746
Hybrid (ARIMA+DL),0.0051860331660302204,0.003963882551347285,0.4958217270194986,0.6111722158687064
GARCH,0.0068970358504351235,0.006089014490869352,0.48467966573816157,0.3122799635835525
CNN-only,0.007034774246513432,0.005417869494407549,0.5153203342618384,0.28453722829016515
GRU-only,0.007122056739224394,0.0056873642485617,0.4763231197771588,0.2666731794001044
GJR-GARCH,0.007164751289278074,0.00630938097922658,0.4818941504178273,0.25785468667840983
CNN-BiLSTM-Attn,0.008639093031430213,0.006937931069531279,0.5348189415041783,-0.0790038945580398
LSTM-only,0.009138245300921475,0.007266872376264648,0.5013927576601671,-0.2072920316095963
Residual Hybrid (ARIMA+DL-resid),0.01099706431998939,0.00823766102072103,0.4986072423398329,-0.7483977582910462
Naive_Persistence,0.01891352893695117,0.017442094004413385,0.44846796657381616,-255.21964760983758
SVR (RBF),0.0680491284334331,0.05644863979087123,0.5376044568245125,-65.9471116999175
