Model,RMSE,MAE,DoC,R2
HAR-RV,0.013629019426099943,0.010283111849848054,0.5167597765363129,0.5285778872105034
ARIMA,0.014372070746619578,0.010163446461053492,0.5139664804469274,0.47577295623116744
Residual Hybrid (ARIMA+DL-resid),0.014899880923799567,0.011110850056376404,0.5251396648044693,0.43656175308917033
GARCH,0.0155090645849189,0.012528839560295782,0.5223463687150838,0.389547413947127
Hybrid (ARIMA+DL),0.016531018890726,0.011582346487225732,0.5223463687150838,0.3064464913253805
Naive_Persistence,0.02310060167565066,0.018584884992217054,0.5307262569832403,-5.574339577687169
CNN-BiLSTM-Attn,0.024286464574732814,0.016596135980707707,0.4692737430167598,-0.4969570003340882
CNN-only,0.02971791156133995,0.0213399926832011,0.5111731843575419,-1.241389332655627
LSTM-only,0.04358812279251872,0.02724032545754135,0.43854748603351956,-3.821887351139485
GRU-only,0.0550950677681018,0.028380451570912905,0.4972067039106145,-6.703820799478428
GJR-GARCH,0.06228092602338645,0.05900864005525724,0.4972067039106145,-8.844436258301647
SVR (RBF),0.06625005860553065,0.05235283338150657,0.5558659217877095,-10.139181040104372
