Model,RMSE,MAE,DoC,R2
HAR-RV,0.003719045428540733,0.001928929015387183,0.5041782729805014,0.8804455304267613
ARIMA,0.0037680818236467354,0.0018892155267494345,0.5041782729805014,0.8772720443265241
Residual Hybrid (ARIMA+DL-resid),0.003781498079485585,0.001957684954038442,0.4986072423398329,0.8763965426791493
Hybrid (ARIMA+DL),0.005889045332766809,0.004876421037225354,0.49303621169916434,0.7002269095780398
GARCH,0.007054838847838237,0.006003451181282809,0.5097493036211699,0.5697934229111862
GJR-GARCH,0.007269739992299232,0.006230475565652549,0.4986072423398329,0.5431847361716481
LSTM-only,0.009202826095145066,0.0076095289523566085,0.5292479108635098,0.26794235425721136
GRU-only,0.009445279199039086,0.00787942387310906,0.5515320334261838,0.22886138634158382
SVR (RBF),0.010539409999907205,0.008409242696894874,0.5821727019498607,0.039858040302431785
CNN-BiLSTM-Attn,0.010572087312672304,0.009234385837661096,0.5153203342618384,0.03389499345234792
CNN-only,0.014628142867848888,0.011465520325606325,0.49025069637883006,-0.8496145657978791
Naive_Persistence,0.022017100108327383,0.02006055757064634,0.5069637883008357,-145.89332406268653
