Model,RMSE,MAE,DoC,R2
HAR-RV,0.004200353895430956,0.0024207923367284743,0.5626740947075209,0.9569472813237035
Residual Hybrid (ARIMA+DL-resid),0.0042186160209668035,0.0021896030460516257,0.5654596100278552,0.9565721018264688
ARIMA,0.0042209431960694875,0.0021812051682129283,0.5710306406685237,0.9565241751136969
Hybrid (ARIMA+DL),0.0166443745495891,0.011843439958444,0.5766016713091922,0.32397341360229304
GARCH,0.01970596998642928,0.016711123233654604,0.5376044568245125,0.05240131456360453
GJR-GARCH,0.020179862605088552,0.0169126748178421,0.5403899721448467,0.0062772658778739165
Naive_Persistence,0.02449743633744045,0.01791817828359277,0.5626740947075209,-48.45593423951693
GRU-only,0.02770855954644817,0.019987668400390027,0.5654596100278552,-0.8735130130857574
LSTM-only,0.028273797350579548,0.021798440171447536,0.5376044568245125,-0.9507297055224719
CNN-BiLSTM-Attn,0.03272057799249086,0.023169373517800917,0.5153203342618384,-1.612586924188704
CNN-only,0.046656220798861524,0.027409999786479386,0.5738161559888579,-4.311876029620729
SVR (RBF),0.0715989703422888,0.03437447563809097,0.6239554317548747,-11.509569641406628
