Regime,Model,RMSE,MAE,N
bear,HAR-RV,0.005443703779067305,0.004409177059321094,65
bear,GRU-only,0.006407316918468103,0.00504485586798547,65
bear,ARIMA,0.006577644837096561,0.004950028958638542,65
bear,Hybrid (ARIMA+DL),0.0075790008635330626,0.006203895341255674,65
bear,GARCH,0.00827353387775307,0.00785014816722697,65
bear,GJR-GARCH,0.008301062386407543,0.0078406222508487,65
bear,Residual Hybrid (ARIMA+DL-resid),0.009060387980484494,0.006544406292608643,65
bear,CNN-BiLSTM-Attn,0.010663379504251391,0.00897248978988112,65
bear,LSTM-only,0.011134003288025317,0.009936779706490447,65
bear,CNN-only,0.015223169791928125,0.013093054345474434,65
bear,SVR (RBF),0.01741426527560351,0.014494105358141727,65
bear,Naive_Persistence,0.020042304261699243,0.019203905568579906,65
bull,HAR-RV,0.004408915105977934,0.003584373809502827,56
bull,ARIMA,0.005716702217138758,0.004514283652390171,56
bull,GRU-only,0.00655501523366281,0.005341014795222974,56
bull,Hybrid (ARIMA+DL),0.006686617871373515,0.0054620508502432824,56
bull,Residual Hybrid (ARIMA+DL-resid),0.007274223154741296,0.005475651775616193,56
bull,GARCH,0.0074611227059871435,0.006937541886122671,56
bull,GJR-GARCH,0.007639287533275267,0.007047357010399082,56
bull,CNN-BiLSTM-Attn,0.010669294481922945,0.008967584646663588,56
bull,LSTM-only,0.012290238583921245,0.011180254425816823,56
bull,CNN-only,0.015488397384222611,0.013426129253891547,56
bull,SVR (RBF),0.01574591168540064,0.012599358782381342,56
bull,Naive_Persistence,0.018391896762330887,0.017545337444728186,56
calm,GRU-only,0.0048103640179237815,0.0036053063460141426,119
calm,ARIMA,0.005387410697185776,0.003685471885106083,119
calm,Residual Hybrid (ARIMA+DL-resid),0.005908545855810284,0.004107027173282298,119
calm,HAR-RV,0.006591520262872731,0.005456691270017757,119
calm,LSTM-only,0.007646566137546406,0.006551345813697552,119
calm,Hybrid (ARIMA+DL),0.008151959617072853,0.007292241123965434,119
calm,GARCH,0.01195063964978482,0.011601756082178422,119
calm,GJR-GARCH,0.012101511325118773,0.011779596745909157,119
calm,CNN-only,0.012728155019086437,0.01112723485598228,119
calm,Naive_Persistence,0.013027265686133993,0.011980808737033404,119
calm,CNN-BiLSTM-Attn,0.01361151559289816,0.012847846530055104,119
calm,SVR (RBF),0.02822123657279782,0.025136480397036375,119
crisis,GJR-GARCH,0.005642489389073241,0.004536308875826337,119
crisis,GARCH,0.006033519149123468,0.005094734369842278,119
crisis,CNN-BiLSTM-Attn,0.006285049014796798,0.005114238798726074,119
crisis,Hybrid (ARIMA+DL),0.006875631961775518,0.00518573162983385,119
crisis,HAR-RV,0.00753199038106601,0.005839409125693215,119
crisis,ARIMA,0.009346542606665738,0.007373165076287015,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.010086020480454162,0.007975620130114642,119
crisis,GRU-only,0.010265873895041078,0.00872572991914262,119
crisis,SVR (RBF),0.013306810605605866,0.010984790908521122,119
crisis,LSTM-only,0.017319705421936952,0.01594605100201352,119
crisis,CNN-only,0.019614448189489646,0.016879618713547127,119
crisis,Naive_Persistence,0.023262613598260477,0.02172212260765837,119
