Regime,Model,RMSE,MAE,N
bear,Residual Hybrid (ARIMA+DL-resid),0.0033066890732219526,0.00217878243242362,50
bear,ARIMA,0.0034536247715853236,0.0022462311942850473,50
bear,HAR-RV,0.003603702957345482,0.0025469226745929064,50
bear,Hybrid (ARIMA+DL),0.008210398634529792,0.00406017089343352,50
bear,GARCH,0.00962428649715961,0.007185504480185,50
bear,GJR-GARCH,0.014580824770932194,0.009034749880177417,50
bear,CNN-BiLSTM-Attn,0.015154889947642296,0.0069840364786478235,50
bear,Naive_Persistence,0.018774924389259186,0.018519748309438044,50
bear,GRU-only,0.02794555173100202,0.021465701993799127,50
bear,LSTM-only,0.03854546441058164,0.02551034753421537,50
bear,CNN-only,0.04114640080112138,0.027275174287922133,50
bear,SVR (RBF),0.11241326919880426,0.06447157026292284,50
bull,HAR-RV,0.003371258289621072,0.001931852392531799,72
bull,ARIMA,0.0037582075438941397,0.0021936438749646306,72
bull,Residual Hybrid (ARIMA+DL-resid),0.0045758816575511676,0.0032891866716475903,72
bull,GARCH,0.008845184522244951,0.006438397612721477,72
bull,Hybrid (ARIMA+DL),0.01045528236094828,0.00452721961444806,72
bull,Naive_Persistence,0.013988269675915354,0.01353441428902426,72
bull,CNN-BiLSTM-Attn,0.02101225833931461,0.00858476048993294,72
bull,GJR-GARCH,0.025319175731181583,0.01465074928955649,72
bull,GRU-only,0.02732936681513015,0.020364486920743958,72
bull,LSTM-only,0.03750304521430853,0.025106385528622044,72
bull,CNN-only,0.03913803611316817,0.025906828912014363,72
bull,SVR (RBF),0.11064069550530942,0.057628908794836856,72
calm,ARIMA,0.004007100544283522,0.0025429460759031387,119
calm,HAR-RV,0.004137777733400482,0.002784480287998191,119
calm,GRU-only,0.006022376191633511,0.004861835581618643,119
calm,LSTM-only,0.008951983213096032,0.006631739714348293,119
calm,Residual Hybrid (ARIMA+DL-resid),0.009775148486752887,0.006472774596114152,119
calm,Naive_Persistence,0.010160239487425804,0.00898015406177707,119
calm,GARCH,0.01227120057404502,0.011236011262444704,119
calm,Hybrid (ARIMA+DL),0.018897161980625965,0.012022370445258997,119
calm,CNN-only,0.022243283624044683,0.014454505695094464,119
calm,GJR-GARCH,0.022277819607439117,0.0189020830662396,119
calm,CNN-BiLSTM-Attn,0.037089114649379196,0.02323863480772866,119
calm,SVR (RBF),0.049538542356734314,0.03780139869388045,119
crisis,HAR-RV,0.005765022220551726,0.0037075742480624347,119
crisis,ARIMA,0.005924926197074122,0.0037049081958781564,119
crisis,GARCH,0.008070737690658846,0.006170671214495163,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.009261375445737012,0.005747947908211525,119
crisis,Hybrid (ARIMA+DL),0.022775433931411453,0.01632004269639522,119
crisis,Naive_Persistence,0.03175916877122747,0.02997101597494352,119
crisis,GJR-GARCH,0.03353087812062639,0.024757358922577754,119
crisis,CNN-BiLSTM-Attn,0.04399475260991014,0.03186982656747292,119
crisis,GRU-only,0.04643480389642158,0.041879824163038835,119
crisis,LSTM-only,0.05617992497031324,0.04612727879959543,119
crisis,CNN-only,0.07041472200373826,0.05437805592753367,119
crisis,SVR (RBF),0.10821595604489195,0.07762082716765765,119
