Regime,Model,RMSE,MAE,N
bear,HAR-RV,0.0062454950825776455,0.004829056586536954,55
bear,ARIMA,0.006360122649265069,0.004724958467278726,55
bear,Residual Hybrid (ARIMA+DL-resid),0.006568173441340881,0.00496470888694489,55
bear,Hybrid (ARIMA+DL),0.007145696740386152,0.006123786910547503,55
bear,GARCH,0.007757748949362744,0.0068942670207827825,55
bear,GJR-GARCH,0.00808363184749709,0.007163755677165645,55
bear,LSTM-only,0.008557929079577307,0.006798866289913526,55
bear,GRU-only,0.00872384486349968,0.0067557238563314545,55
bear,CNN-BiLSTM-Attn,0.010755510981245957,0.00961629479464637,55
bear,SVR (RBF),0.012034821847161233,0.00987610891195438,55
bear,CNN-only,0.012615341316231574,0.011900314100362656,55
bear,Naive_Persistence,0.02210462069913345,0.021215469244720314,55
bull,Hybrid (ARIMA+DL),0.005082592777826783,0.00398767355549363,67
bull,HAR-RV,0.005146677784692945,0.003511640502741171,67
bull,Residual Hybrid (ARIMA+DL-resid),0.005780198653848529,0.004051495823393804,67
bull,ARIMA,0.005891588665005117,0.004256603847806487,67
bull,LSTM-only,0.006018453724974759,0.004438233372639638,67
bull,GARCH,0.006068223001477568,0.005251774056974498,67
bull,GJR-GARCH,0.006512860394723534,0.005612266509222375,67
bull,GRU-only,0.0065849146220658475,0.004970733742775833,67
bull,CNN-BiLSTM-Attn,0.008997643279255481,0.008306400160237473,67
bull,SVR (RBF),0.010496403043140083,0.008308108383643091,67
bull,CNN-only,0.0119196138002329,0.011542629946132657,67
bull,Naive_Persistence,0.018197825130138835,0.017173429794646373,67
calm,CNN-only,0.004990696712207581,0.004126762034040638,119
calm,ARIMA,0.006831645523771498,0.0036109571057834325,119
calm,Residual Hybrid (ARIMA+DL-resid),0.007007574800347549,0.003745896381631096,119
calm,HAR-RV,0.007080812092924203,0.00443168672856271,119
calm,GRU-only,0.008783950455828164,0.007606348324717089,119
calm,Hybrid (ARIMA+DL),0.009286703424311829,0.008191378932291,119
calm,LSTM-only,0.009767418849579343,0.008961265084542848,119
calm,SVR (RBF),0.010016480850744114,0.008306791073972006,119
calm,GARCH,0.010543600561270877,0.009828522845622786,119
calm,GJR-GARCH,0.010577633688898956,0.009976647097283534,119
calm,Naive_Persistence,0.014470815498723982,0.013078988263872842,119
calm,CNN-BiLSTM-Attn,0.015165982121518465,0.014722702703475652,119
crisis,GJR-GARCH,0.005852363568746385,0.00446429314951381,119
crisis,GARCH,0.005928831103243516,0.0044676706449152314,119
crisis,Hybrid (ARIMA+DL),0.006322031544850106,0.004742722665132585,119
crisis,HAR-RV,0.0065497849842823435,0.004387044817790761,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.007026502613792149,0.004864516320171806,119
crisis,ARIMA,0.007189718330775658,0.004857328726311387,119
crisis,CNN-BiLSTM-Attn,0.008413425303617491,0.006738216374558036,119
crisis,SVR (RBF),0.011492219891626925,0.008847500701689779,119
crisis,LSTM-only,0.011602243633138137,0.00970747073059278,119
crisis,GRU-only,0.011930332065048392,0.00962404195348297,119
crisis,CNN-only,0.026158776756737136,0.02503944819708803,119
crisis,Naive_Persistence,0.029304472912760907,0.028083629720168337,119
