Regime,Model,RMSE,MAE,N
bear,HAR-RV,0.01346247482626491,0.010943308541588393,53
bear,ARIMA,0.015368440612788014,0.01170107644394868,53
bear,Hybrid (ARIMA+DL),0.015377976163082414,0.011835073810327947,53
bear,CNN-BiLSTM-Attn,0.01995222359374441,0.01464508940867961,53
bear,CNN-only,0.021513627486181047,0.014000295924398973,53
bear,GRU-only,0.021932724583939828,0.011831594618645327,53
bear,Naive_Persistence,0.024572572607188363,0.020488913702525653,53
bear,LSTM-only,0.028263805637250755,0.020982981871883317,53
bear,Residual Hybrid (ARIMA+DL-resid),0.030386131480743133,0.021213372615638656,53
bear,GARCH,0.03412095640961731,0.0337058320768103,53
bear,GJR-GARCH,0.03431664736455166,0.033905824379385496,53
bear,SVR (RBF),0.05925665855363131,0.030243497393182724,53
bull,GRU-only,0.007434113473119593,0.006211325401748235,68
bull,HAR-RV,0.008733855127584754,0.006587094339435019,68
bull,Hybrid (ARIMA+DL),0.009145773036507744,0.007066489174999738,68
bull,CNN-only,0.010281905034186418,0.00862167845766483,68
bull,ARIMA,0.011455729218947417,0.008818880454736347,68
bull,CNN-BiLSTM-Attn,0.011913110593294309,0.010218702058628777,68
bull,Naive_Persistence,0.013471419819772738,0.009617358297270836,68
bull,LSTM-only,0.028165542490883815,0.01813438159803677,68
bull,Residual Hybrid (ARIMA+DL-resid),0.030249031618479055,0.021740502384339597,68
bull,GARCH,0.032690500191601184,0.03223163016591127,68
bull,GJR-GARCH,0.03290108122768311,0.03244472346130095,68
bull,SVR (RBF),0.03854693514886965,0.021164177660234616,68
calm,ARIMA,0.008511282909313104,0.005735454945489215,119
calm,Naive_Persistence,0.010162303309392882,0.00764141753683884,119
calm,CNN-only,0.011105744490292425,0.00924224433355406,119
calm,Hybrid (ARIMA+DL),0.01121844174259702,0.009630247729787373,119
calm,GRU-only,0.011675024785511082,0.010425675451961013,119
calm,HAR-RV,0.011961045796789666,0.010630914671307546,119
calm,CNN-BiLSTM-Attn,0.01762581004307309,0.016027395684195277,119
calm,LSTM-only,0.023601806081601773,0.01923742002889099,119
calm,Residual Hybrid (ARIMA+DL-resid),0.030804865015934997,0.019255175205445476,119
calm,SVR (RBF),0.03503300165248948,0.0228173850579414,119
calm,GARCH,0.041141030323391274,0.04102878953179172,119
calm,GJR-GARCH,0.041382057307616966,0.04126969284296897,119
crisis,HAR-RV,0.01730652877382782,0.0139823135427406,119
crisis,Hybrid (ARIMA+DL),0.018587275060290218,0.015263620194915185,119
crisis,ARIMA,0.019597962132558388,0.015484491849252538,119
crisis,GARCH,0.020172987670155053,0.016789906733618066,119
crisis,CNN-BiLSTM-Attn,0.020571205697897194,0.01668779019522559,119
crisis,GJR-GARCH,0.02084330981920217,0.017253003868125883,119
crisis,LSTM-only,0.02139234815244119,0.015796139387665633,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.02674218334630742,0.02170716442232055,119
crisis,GRU-only,0.028399254091228714,0.022979526628040415,119
crisis,CNN-only,0.029693209700891867,0.0232682056179698,119
crisis,Naive_Persistence,0.03772050725265968,0.03180873405298971,119
crisis,SVR (RBF),0.05482835374834558,0.0338477257090141,119
