Ticker,Horizon,RMSE,MAE,N
BTC-USD,1,0.011502326008639971,0.007809755121652142,360
ETH-USD,1,0.009662775602374836,0.008100987204185037,360
DOGE-USD,1,0.021251943212477968,0.015647626302041036,360
XRP-USD,1,0.014556003617229021,0.01223336774116707,360
BTC-USD,3,0.008685378744632342,0.006614984719334549,360
ETH-USD,3,0.009965422941408316,0.008336091249741178,360
DOGE-USD,3,0.013701222174829995,0.010504765663423982,360
XRP-USD,3,0.014829278110044019,0.012749321356231488,360
BTC-USD,7,0.008540882074832348,0.006847128667796807,359
ETH-USD,7,0.012966070062280932,0.01059015289896131,359
DOGE-USD,7,0.020425333057015254,0.014613185500712665,359
XRP-USD,7,0.017688873732557866,0.015120772204443996,359
